epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,0.11730555444955826,,-0.11730555444955826,
1,15,,,0.10777764767408371,,-0.10777764767408371,
2,23,,,0.07119210064411163,,-0.07119210064411163,
3,31,,,0.039694786071777344,,-0.039694786071777344,
4,39,,,0.008196666836738586,,-0.008196666836738586,
5,47,,,-0.026119759306311607,,0.026119759306311607,
6,49,,,,-0.045924246311187744,,0.045924246311187744
6,55,,,-0.054798100143671036,,0.054798100143671036,
7,63,,,-0.08184075355529785,,0.08184075355529785,
8,71,,,-0.10297787934541702,,0.10297787934541702,
9,79,,,-0.12038200348615646,,0.12038200348615646,
10,87,,,-0.13204433023929596,,0.13204433023929596,
11,95,,,-0.14282335340976715,,0.14282335340976715,
12,99,,,,-0.16377758979797363,,0.16377758979797363
12,103,,,-0.14832007884979248,,0.14832007884979248,
13,111,,,-0.1525411605834961,,0.1525411605834961,
14,119,,,-0.15598393976688385,,0.15598393976688385,
15,127,,,-0.15755490958690643,,0.15755490958690643,
16,135,,,-0.15858978033065796,,0.15858978033065796,
17,143,,,-0.16043907403945923,,0.16043907403945923,
18,149,,,,-0.16819411516189575,,0.16819411516189575
18,151,,,-0.15933558344841003,,0.15933558344841003,
19,159,,,-0.16157616674900055,,0.16157616674900055,
20,167,,,-0.16217389702796936,,0.16217389702796936,
21,175,,,-0.1653786450624466,,0.1653786450624466,
22,183,,,-0.16250498592853546,,0.16250498592853546,
23,191,,,-0.16262590885162354,,0.16262590885162354,
24,199,,,,-0.20936518907546997,,0.20936518907546997
24,199,,,-0.16328494250774384,,0.16328494250774384,
25,207,,,-0.16504716873168945,,0.16504716873168945,
26,215,,,-0.165826216340065,,0.165826216340065,
27,223,,,-0.1646643429994583,,0.1646643429994583,
28,231,,,-0.16450002789497375,,0.16450002789497375,
29,239,,,-0.16445699334144592,,0.16445699334144592,
30,247,,,-0.1639629751443863,,0.1639629751443863,
31,249,,,,-0.1614006757736206,,0.1614006757736206
31,255,,,-0.1641373485326767,,0.1641373485326767,
32,263,,,-0.16969545185565948,,0.16969545185565948,
33,271,,,-0.16585347056388855,,0.16585347056388855,
34,279,,,-0.1651911586523056,,0.1651911586523056,
35,287,,,-0.16752251982688904,,0.16752251982688904,
36,295,,,-0.16864237189292908,,0.16864237189292908,
37,299,,,,-0.16637039184570312,,0.16637039184570312
37,303,,,-0.16997000575065613,,0.16997000575065613,
38,311,,,-0.16639377176761627,,0.16639377176761627,
39,319,,,-0.1656549572944641,,0.1656549572944641,
40,327,,,-0.16886824369430542,,0.16886824369430542,
41,335,,,-0.16558949649333954,,0.16558949649333954,
42,343,,,-0.16651134192943573,,0.16651134192943573,
43,349,,,,-0.16966629028320312,,0.16966629028320312
43,351,,,-0.16824811697006226,,0.16824811697006226,
44,359,,,-0.16686011850833893,,0.16686011850833893,
45,367,,,-0.16641725599765778,,0.16641725599765778,
46,375,,,-0.16517068445682526,,0.16517068445682526,
47,383,,,-0.16808491945266724,,0.16808491945266724,
48,391,,,-0.1674778312444687,,0.1674778312444687,
49,399,,,,-0.1334419846534729,,0.1334419846534729
49,399,,,-0.17041362822055817,,0.17041362822055817,
50,407,,,-0.1661267876625061,,0.1661267876625061,
51,415,,,-0.1675601303577423,,0.1675601303577423,
52,423,,,-0.16744571924209595,,0.16744571924209595,
53,431,,,-0.1687949001789093,,0.1687949001789093,
54,439,,,-0.1663038283586502,,0.1663038283586502,
55,447,,,-0.17195984721183777,,0.17195984721183777,
56,449,,,,-0.1948552131652832,,0.1948552131652832
56,455,,,-0.16844291985034943,,0.16844291985034943,
57,463,,,-0.1689145416021347,,0.1689145416021347,
58,471,,,-0.16660016775131226,,0.16660016775131226,
59,479,,,-0.1655869334936142,,0.1655869334936142,
60,487,,,-0.16782552003860474,,0.16782552003860474,
61,495,,,-0.16637560725212097,,0.16637560725212097,
62,499,,,,-0.17708760499954224,,0.17708760499954224
62,503,,,-0.1682364046573639,,0.1682364046573639,
63,511,,,-0.16728080809116364,,0.16728080809116364,
64,519,,,-0.1672951728105545,,0.1672951728105545,
65,527,,,-0.16653291881084442,,0.16653291881084442,
66,535,,,-0.16696633398532867,,0.16696633398532867,
67,543,,,-0.16595421731472015,,0.16595421731472015,
68,549,,,,-0.20664936304092407,,0.20664936304092407
68,551,,,-0.1680944561958313,,0.1680944561958313,
69,559,,,-0.16880391538143158,,0.16880391538143158,
70,567,,,-0.16723112761974335,,0.16723112761974335,
71,575,,,-0.1733301430940628,,0.1733301430940628,
72,583,,,-0.16629475355148315,,0.16629475355148315,
73,591,,,-0.169072687625885,,0.169072687625885,
74,599,,,,-0.18489152193069458,,0.18489152193069458
74,599,,,-0.16900356113910675,,0.16900356113910675,
75,607,,,-0.1659722626209259,,0.1659722626209259,
76,615,,,-0.16989287734031677,,0.16989287734031677,
77,623,,,-0.16797639429569244,,0.16797639429569244,
78,631,,,-0.1679108589887619,,0.1679108589887619,
79,639,,,-0.17037391662597656,,0.17037391662597656,
80,647,,,-0.16735127568244934,,0.16735127568244934,
81,649,,,,-0.13604241609573364,,0.13604241609573364
81,655,,,-0.16761739552021027,,0.16761739552021027,
82,663,,,-0.16601747274398804,,0.16601747274398804,
83,671,,,-0.16738833487033844,,0.16738833487033844,
84,679,,,-0.16626840829849243,,0.16626840829849243,
85,687,,,-0.1672563999891281,,0.1672563999891281,
86,695,,,-0.16555030643939972,,0.16555030643939972,
87,699,,,,-0.19561028480529785,,0.19561028480529785
87,703,,,-0.16819462180137634,,0.16819462180137634,
88,711,,,-0.16719505190849304,,0.16719505190849304,
89,719,,,-0.1676110327243805,,0.1676110327243805,
90,727,,,-0.17047785222530365,,0.17047785222530365,
91,735,,,-0.17555877566337585,,0.17555877566337585,
92,743,,,-0.16690903902053833,,0.16690903902053833,
93,749,,,,-0.16828221082687378,,0.16828221082687378
93,751,,,-0.1724701076745987,,0.1724701076745987,
94,759,,,-0.16717012226581573,,0.16717012226581573,
95,767,,,-0.1657005399465561,,0.1657005399465561,
96,775,,,-0.16847845911979675,,0.16847845911979675,
97,783,,,-0.16733582317829132,,0.16733582317829132,
98,791,,,-0.17026583850383759,,0.17026583850383759,
99,799,,,,-0.1364341378211975,,0.1364341378211975
99,799,,,-0.16604609787464142,,0.16604609787464142,
100,807,,,-0.16864275932312012,,0.16864275932312012,
101,815,,,-0.16711193323135376,,0.16711193323135376,
102,823,,,-0.16770152747631073,,0.16770152747631073,
103,831,,,-0.17096419632434845,,0.17096419632434845,
104,839,,,-0.17298167943954468,,0.17298167943954468,
105,847,,,-0.16899074614048004,,0.16899074614048004,
106,849,,,,-0.22781020402908325,,0.22781020402908325
106,855,,,-0.16770629584789276,,0.16770629584789276,
107,863,,,-0.16976675391197205,,0.16976675391197205,
108,871,,,-0.1680590957403183,,0.1680590957403183,
109,879,,,-0.16744528710842133,,0.16744528710842133,
110,887,,,-0.16847002506256104,,0.16847002506256104,
111,895,,,-0.16716210544109344,,0.16716210544109344,
112,899,,,,-0.17869025468826294,,0.17869025468826294
112,903,,,-0.16639243066310883,,0.16639243066310883,
113,911,,,-0.17101630568504333,,0.17101630568504333,
114,919,,,-0.16808319091796875,,0.16808319091796875,
115,927,,,-0.1713760942220688,,0.1713760942220688,
116,935,,,-0.1660563349723816,,0.1660563349723816,
117,943,,,-0.16753843426704407,,0.16753843426704407,
