epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,-0.41824403405189514,,0.41824403405189514,
1,15,,,-0.8777130842208862,,0.8777130842208862,
2,23,,,-1.5933336019515991,,1.5933336019515991,
3,31,,,-2.069218635559082,,2.069218635559082,
4,39,,,-2.1996285915374756,,2.1996285915374756,
5,47,,,-2.2086353302001953,,2.2086353302001953,
6,49,,,,-2.4110989570617676,,2.4110989570617676
6,55,,,-2.262404441833496,,2.262404441833496,
7,63,,,-2.395130157470703,,2.395130157470703,
8,71,,,-2.319201946258545,,2.319201946258545,
9,79,,,-2.333310842514038,,2.333310842514038,
10,87,,,-2.4106686115264893,,2.4106686115264893,
11,95,,,-2.5073485374450684,,2.5073485374450684,
12,99,,,,-2.7147116661071777,,2.7147116661071777
12,103,,,-2.4407551288604736,,2.4407551288604736,
13,111,,,-2.4589083194732666,,2.4589083194732666,
14,119,,,-2.7761738300323486,,2.7761738300323486,
15,127,,,-2.6001415252685547,,2.6001415252685547,
16,135,,,-2.5248100757598877,,2.5248100757598877,
17,143,,,-2.9210286140441895,,2.9210286140441895,
18,149,,,,-2.535841464996338,,2.535841464996338
18,151,,,-2.559922695159912,,2.559922695159912,
19,159,,,-2.4209911823272705,,2.4209911823272705,
20,167,,,-2.7792675495147705,,2.7792675495147705,
21,175,,,-2.7571866512298584,,2.7571866512298584,
22,183,,,-2.522976875305176,,2.522976875305176,
23,191,,,-2.683452606201172,,2.683452606201172,
24,199,,,,-2.804594039916992,,2.804594039916992
24,199,,,-2.6062450408935547,,2.6062450408935547,
25,207,,,-3.0499331951141357,,3.0499331951141357,
26,215,,,-3.1874632835388184,,3.1874632835388184,
27,223,,,-2.8302969932556152,,2.8302969932556152,
28,231,,,-3.195678949356079,,3.195678949356079,
29,239,,,-3.12945294380188,,3.12945294380188,
30,247,,,-2.918217182159424,,2.918217182159424,
31,249,,,,-2.263774871826172,,2.263774871826172
31,255,,,-3.034139394760132,,3.034139394760132,
32,263,,,-3.137937545776367,,3.137937545776367,
33,271,,,-3.6768007278442383,,3.6768007278442383,
34,279,,,-4.039689540863037,,4.039689540863037,
35,287,,,-4.3368072509765625,,4.3368072509765625,
36,295,,,-6.450458526611328,,6.450458526611328,
37,299,,,,-11.824520111083984,,11.824520111083984
37,303,,,nan,,nan,
38,311,,,nan,,nan,
39,319,,,nan,,nan,
40,327,,,nan,,nan,
41,335,,,nan,,nan,
42,343,,,nan,,nan,
43,349,,,,nan,,nan
43,351,,,nan,,nan,
44,359,,,nan,,nan,
45,367,,,nan,,nan,
46,375,,,nan,,nan,
47,383,,,nan,,nan,
48,391,,,nan,,nan,
49,399,,,,nan,,nan
49,399,,,nan,,nan,
50,407,,,nan,,nan,
51,415,,,nan,,nan,
52,423,,,nan,,nan,
53,431,,,nan,,nan,
54,439,,,nan,,nan,
55,447,,,nan,,nan,
56,449,,,,nan,,nan
56,455,,,nan,,nan,
57,463,,,nan,,nan,
58,471,,,nan,,nan,
59,479,,,nan,,nan,
60,487,,,nan,,nan,
61,495,,,nan,,nan,
62,499,,,,nan,,nan
62,503,,,nan,,nan,
63,511,,,nan,,nan,
64,519,,,nan,,nan,
65,527,,,nan,,nan,
66,535,,,nan,,nan,
67,543,,,nan,,nan,
68,549,,,,nan,,nan
68,551,,,nan,,nan,
69,559,,,nan,,nan,
70,567,,,nan,,nan,
71,575,,,nan,,nan,
72,583,,,nan,,nan,
73,591,,,nan,,nan,
74,599,,,,nan,,nan
74,599,,,nan,,nan,
75,607,,,nan,,nan,
76,615,,,nan,,nan,
77,623,,,nan,,nan,
78,631,,,nan,,nan,
79,639,,,nan,,nan,
80,647,,,nan,,nan,
81,649,,,,nan,,nan
81,655,,,nan,,nan,
82,663,,,nan,,nan,
83,671,,,nan,,nan,
84,679,,,nan,,nan,
85,687,,,nan,,nan,
86,695,,,nan,,nan,
87,699,,,,nan,,nan
87,703,,,nan,,nan,
88,711,,,nan,,nan,
89,719,,,nan,,nan,
90,727,,,nan,,nan,
91,735,,,nan,,nan,
92,743,,,nan,,nan,
93,749,,,,nan,,nan
93,751,,,nan,,nan,
94,759,,,nan,,nan,
95,767,,,nan,,nan,
96,775,,,nan,,nan,
97,783,,,nan,,nan,
98,791,,,nan,,nan,
99,799,,,,nan,,nan
99,799,,,nan,,nan,
100,807,,,nan,,nan,
101,815,,,nan,,nan,
102,823,,,nan,,nan,
103,831,,,nan,,nan,
104,839,,,nan,,nan,
105,847,,,nan,,nan,
106,849,,,,nan,,nan
106,855,,,nan,,nan,
107,863,,,nan,,nan,
108,871,,,nan,,nan,
109,879,,,nan,,nan,
110,887,,,nan,,nan,
111,895,,,nan,,nan,
112,899,,,,nan,,nan
112,903,,,nan,,nan,
113,911,,,nan,,nan,
114,919,,,nan,,nan,
115,927,,,nan,,nan,
116,935,,,nan,,nan,
117,943,,,nan,,nan,
118,949,,,,nan,,nan
118,951,,,nan,,nan,
119,959,,,nan,,nan,
120,967,,,nan,,nan,
121,975,,,nan,,nan,
122,983,,,nan,,nan,
123,991,,,nan,,nan,
124,999,,,,nan,,nan
124,999,,,nan,,nan,
125,1007,,,nan,,nan,
126,1015,,,nan,,nan,
127,1023,,,nan,,nan,
128,1031,,,nan,,nan,
129,1039,,,nan,,nan,
130,1047,,,nan,,nan,
131,1049,,,,nan,,nan
131,1055,,,nan,,nan,
132,1063,,,nan,,nan,
133,1071,,,nan,,nan,
134,1079,,,nan,,nan,
135,1087,,,nan,,nan,
136,1095,,,nan,,nan,
137,1099,,,,nan,,nan
137,1103,,,nan,,nan,
138,1111,,,nan,,nan,
139,1119,,,nan,,nan,
140,1127,,,nan,,nan,
141,1135,,,nan,,nan,
142,1143,,,nan,,nan,
143,1149,,,,nan,,nan
143,1151,,,nan,,nan,
144,1159,,,nan,,nan,
145,1167,,,nan,,nan,
146,1175,,,nan,,nan,
147,1183,,,nan,,nan,
148,1191,,,nan,,nan,
149,1199,,,,nan,,nan
149,1199,,,nan,,nan,
150,1207,,,nan,,nan,
151,1215,,,nan,,nan,
152,1223,,,nan,,nan,
153,1231,,,nan,,nan,
154,1239,,,nan,,nan,
155,1247,,,nan,,nan,
156,1249,,,,nan,,nan
156,1255,,,nan,,nan,
157,1263,,,nan,,nan,
158,1271,,,nan,,nan,
159,1279,,,nan,,nan,
160,1287,,,nan,,nan,
161,1295,,,nan,,nan,
162,1299,,,,nan,,nan
162,1303,,,nan,,nan,
