epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,0.10982083529233932,,-0.10982083529233932,
1,15,,,0.0936707854270935,,-0.0936707854270935,
2,23,,,0.07806181907653809,,-0.07806181907653809,
3,31,,,0.06323021650314331,,-0.06323021650314331,
4,39,,,0.04871094226837158,,-0.04871094226837158,
5,47,,,0.03422290459275246,,-0.03422290459275246,
6,49,,,,0.024253368377685547,,-0.024253368377685547
6,55,,,0.019551575183868408,,-0.019551575183868408,
7,63,,,0.0048354859463870525,,-0.0048354859463870525,
8,71,,,-0.009769082069396973,,0.009769082069396973,
9,79,,,-0.02418714575469494,,0.02418714575469494,
10,87,,,-0.03833871707320213,,0.03833871707320213,
11,95,,,-0.052294373512268066,,0.052294373512268066,
12,99,,,,-0.06480216979980469,,0.06480216979980469
12,103,,,-0.06607401371002197,,0.06607401371002197,
13,111,,,-0.079304039478302,,0.079304039478302,
14,119,,,-0.09241288900375366,,0.09241288900375366,
15,127,,,-0.10557527095079422,,0.10557527095079422,
16,135,,,-0.11896675825119019,,0.11896675825119019,
17,143,,,-0.13262146711349487,,0.13262146711349487,
18,149,,,,-0.14924359321594238,,0.14924359321594238
18,151,,,-0.1469610184431076,,0.1469610184431076,
19,159,,,-0.16213783621788025,,0.16213783621788025,
20,167,,,-0.17460039258003235,,0.17460039258003235,
21,175,,,-0.18590711057186127,,0.18590711057186127,
22,183,,,-0.19741953909397125,,0.19741953909397125,
23,191,,,-0.20945410430431366,,0.20945410430431366,
24,199,,,,-0.22857284545898438,,0.22857284545898438
24,199,,,-0.2223568558692932,,0.2223568558692932,
25,207,,,-0.23645390570163727,,0.23645390570163727,
26,215,,,-0.2516486644744873,,0.2516486644744873,
27,223,,,-0.2667318284511566,,0.2667318284511566,
28,231,,,-0.2800728678703308,,0.2800728678703308,
29,239,,,-0.29216644167900085,,0.29216644167900085,
30,247,,,-0.30437275767326355,,0.30437275767326355,
31,249,,,,-0.31304359436035156,,0.31304359436035156
31,255,,,-0.3166508674621582,,0.3166508674621582,
32,263,,,-0.3290325999259949,,0.3290325999259949,
33,271,,,-0.341447651386261,,0.341447651386261,
34,279,,,-0.35384103655815125,,0.35384103655815125,
35,287,,,-0.36634036898612976,,0.36634036898612976,
36,295,,,-0.3789367079734802,,0.3789367079734802,
37,299,,,,-0.393845796585083,,0.393845796585083
37,303,,,-0.3916401267051697,,0.3916401267051697,
38,311,,,-0.4044380187988281,,0.4044380187988281,
39,319,,,-0.417329877614975,,0.417329877614975,
40,327,,,-0.430325984954834,,0.430325984954834,
41,335,,,-0.4433762729167938,,0.4433762729167938,
42,343,,,-0.4564054310321808,,0.4564054310321808,
43,349,,,,-0.4774196147918701,,0.4774196147918701
43,351,,,-0.46944716572761536,,0.46944716572761536,
44,359,,,-0.4824453592300415,,0.4824453592300415,
45,367,,,-0.4955947697162628,,0.4955947697162628,
46,375,,,-0.5088850855827332,,0.5088850855827332,
47,383,,,-0.5222151875495911,,0.5222151875495911,
48,391,,,-0.5356431007385254,,0.5356431007385254,
49,399,,,,-0.5507175922393799,,0.5507175922393799
49,399,,,-0.5489991903305054,,0.5489991903305054,
50,407,,,-0.5623611211776733,,0.5623611211776733,
51,415,,,-0.5758052468299866,,0.5758052468299866,
52,423,,,-0.5893216729164124,,0.5893216729164124,
53,431,,,-0.6029727458953857,,0.6029727458953857,
54,439,,,-0.6167323589324951,,0.6167323589324951,
55,447,,,-0.6306080222129822,,0.6306080222129822,
56,449,,,,-0.642397403717041,,0.642397403717041
56,455,,,-0.6444765329360962,,0.6444765329360962,
57,463,,,-0.6584977507591248,,0.6584977507591248,
58,471,,,-0.6726958751678467,,0.6726958751678467,
59,479,,,-0.6868414282798767,,0.6868414282798767,
60,487,,,-0.7011158466339111,,0.7011158466339111,
61,495,,,-0.7153697609901428,,0.7153697609901428,
62,499,,,,-0.7214417457580566,,0.7214417457580566
62,503,,,-0.729777455329895,,0.729777455329895,
63,511,,,-0.7442596554756165,,0.7442596554756165,
64,519,,,-0.7589815258979797,,0.7589815258979797,
65,527,,,-0.7736093997955322,,0.7736093997955322,
66,535,,,-0.7882930636405945,,0.7882930636405945,
67,543,,,-0.8032719492912292,,0.8032719492912292,
68,549,,,,-0.8299446105957031,,0.8299446105957031
68,551,,,-0.8188157081604004,,0.8188157081604004,
69,559,,,-0.8349687457084656,,0.8349687457084656,
70,567,,,-0.8496116995811462,,0.8496116995811462,
71,575,,,-0.8642949461936951,,0.8642949461936951,
72,583,,,-0.8791058659553528,,0.8791058659553528,
73,591,,,-0.8940500020980835,,0.8940500020980835,
74,599,,,,-0.9172873497009277,,0.9172873497009277
74,599,,,-0.9091169238090515,,0.9091169238090515,
75,607,,,-0.9241563677787781,,0.9241563677787781,
76,615,,,-0.9393302798271179,,0.9393302798271179,
77,623,,,-0.954525887966156,,0.954525887966156,
78,631,,,-0.9698672890663147,,0.9698672890663147,
79,639,,,-0.9852634072303772,,0.9852634072303772,
80,647,,,-1.0006102323532104,,1.0006102323532104,
81,649,,,,-1.0061290264129639,,1.0061290264129639
81,655,,,-1.016175389289856,,1.016175389289856,
82,663,,,-1.0317378044128418,,1.0317378044128418,
83,671,,,-1.0472527742385864,,1.0472527742385864,
84,679,,,-1.0630654096603394,,1.0630654096603394,
85,687,,,-1.0790119171142578,,1.0790119171142578,
86,695,,,-1.0947575569152832,,1.0947575569152832,
87,699,,,,-1.1245701313018799,,1.1245701313018799
87,703,,,-1.1105613708496094,,1.1105613708496094,
88,711,,,-1.1263859272003174,,1.1263859272003174,
89,719,,,-1.1425421237945557,,1.1425421237945557,
90,727,,,-1.158599853515625,,1.158599853515625,
91,735,,,-1.174625277519226,,1.174625277519226,
92,743,,,-1.1907826662063599,,1.1907826662063599,
93,749,,,,-1.2068345546722412,,1.2068345546722412
93,751,,,-1.2070848941802979,,1.2070848941802979,
94,759,,,-1.22325599193573,,1.22325599193573,
95,767,,,-1.2398297786712646,,1.2398297786712646,
96,775,,,-1.2559525966644287,,1.2559525966644287,
97,783,,,-1.2724815607070923,,1.2724815607070923,
98,791,,,-1.2889646291732788,,1.2889646291732788,
99,799,,,,-1.3324642181396484,,1.3324642181396484
99,799,,,-1.3057820796966553,,1.3057820796966553,
100,800,-1.318610668182373,1.318610668182373,,,,
